"","Code","DOI","Country","Site.ID","CID","C.Descrip","M.Year","Units","MeanC","Tree.Feed","Out.SubInd","PrName","TID","T.Descrip","MeanT","VarianceT"
"1","AG0018","https://pdfs.semanticscholar.org/085f/cbe290d2edec655ea106f6ba39ef4e6a3673.pdf","Zimbabwe","Makoholi","T4","NP","2009","kg/d/individual",0.359166666666667,"Leucaena leucocephala","Weight Gain","Feed Addition-Feed Processing","T2..T3","LLM..MFM",0.407083333333333,NA
"2","AG0018","https://pdfs.semanticscholar.org/085f/cbe290d2edec655ea106f6ba39ef4e6a3673.pdf","Zimbabwe","Makoholi","T4","NP","2009","kg/individual",286.3,"Leucaena leucocephala","Meat Yield","Feed Addition-Feed Processing","T2..T3","LLM..MFM",290.5,NA
"3","AG0018","https://pdfs.semanticscholar.org/085f/cbe290d2edec655ea106f6ba39ef4e6a3673.pdf","Zimbabwe","Makoholi","T4","NP","2010","kg/d/individual",0.165416666666667,"Leucaena leucocephala","Weight Gain","Feed Addition-Feed Processing","T2..T3","LLM..MFM",0.236250000000001,NA
"4","AG0018","https://pdfs.semanticscholar.org/085f/cbe290d2edec655ea106f6ba39ef4e6a3673.pdf","Zimbabwe","Makoholi","T4","NP","2010","kg/individual",284.4,"Leucaena leucocephala","Meat Yield","Feed Addition-Feed Processing","T2..T3","LLM..MFM",345.05,NA
"5","AG0018","https://pdfs.semanticscholar.org/085f/cbe290d2edec655ea106f6ba39ef4e6a3673.pdf","Zimbabwe","Makoholi","T4","NP","2011","kg/d/individual",0.042916666666667,"Leucaena leucocephala","Weight Gain","Feed Addition-Feed Processing","T2..T3","LLM..MFM",0.379,NA
"6","AG0018","https://pdfs.semanticscholar.org/085f/cbe290d2edec655ea106f6ba39ef4e6a3673.pdf","Zimbabwe","Makoholi","T4","NP","2011","kg/individual",286.3,"Leucaena leucocephala","Meat Yield","Feed Addition-Feed Processing","T2..T3","LLM..MFM",347.65,NA
"7","AN0007","10.3923/ajava.2016.725.731","Nigeria","Ekiti State University","T1","T1","NA","g/d/individual",30.35,"Gmelina arborea","Weight Gain","Feed Substitution","T2..T3..T4..T5","T2..T3..T4..T5",37.0525,NA
"8","AN0007","10.3923/ajava.2016.725.731","Nigeria","Ekiti State University","T1","T1","NA","kg/individual",14.5,"Gmelina arborea","Meat Yield","Feed Substitution","T2..T3..T4..T5","T2..T3..T4..T5",15.075,NA
"9","AN0058","www.lrrd.org/lrrd30/4/dunc30063.html","Kenya","KALRO, Naivasha","T1","PJP 0","NA","g/d/individual",11.95,"Prosopis juliflora","Weight Gain","Feed Processing-Feed Substitution","T2..T3..T4","PJP 10..PJP 20..PJP 30",11.2766666666667,NA
"10","AN0058","www.lrrd.org/lrrd30/4/dunc30063.html","Kenya","KALRO, Naivasha","T1","PJP 0","NA","g/d/individual",20.54,"Prosopis juliflora","Weight Gain","Feed Processing-Feed Substitution","T2..T3..T4","PJP 10..PJP 20..PJP 30",18.5333333333333,NA
"11","AN0058","www.lrrd.org/lrrd30/4/dunc30063.html","Kenya","KALRO, Naivasha","T1","PJP 0","NA","kg/individual",1.21,"Prosopis juliflora","Meat Yield","Feed Processing-Feed Substitution","T4..T2..T3","PJP 30..PJP 10..PJP 20",1.23,NA
"12","AN0058","www.lrrd.org/lrrd30/4/dunc30063.html","Kenya","KALRO, Naivasha","T1","PJP 0","NA","kg/individual",1.32,"Prosopis juliflora","Meat Yield","Feed Processing-Feed Substitution","T2..T3","PJP 10..PJP 20",1.31,NA
"13","AN0058","www.lrrd.org/lrrd30/4/dunc30063.html","Kenya","KALRO, Naivasha","T1","PJP 0","NA","kg/individual",1.59,"Prosopis juliflora","Meat Yield","Feed Processing-Feed Substitution","T2..T3..T4","PJP 10..PJP 20..PJP 30",1.54,NA
"14","AN0058","www.lrrd.org/lrrd30/4/dunc30063.html","Kenya","KALRO, Naivasha","T1","PJP 0","NA","kg/individual",1.91,"Prosopis juliflora","Meat Yield","Feed Processing-Feed Substitution","T2..T3..T4","PJP 10..PJP 20..PJP 30",1.86366666666667,NA
"15","AN0058","www.lrrd.org/lrrd30/4/dunc30063.html","Kenya","KALRO, Naivasha","T1","PJP 0","NA","kg/individual",2.03,"Prosopis juliflora","Meat Yield","Feed Processing-Feed Substitution","T2..T3..T4","PJP 10..PJP 20..PJP 30",1.98666666666667,NA
"16","AN0058","www.lrrd.org/lrrd30/4/dunc30063.html","Kenya","KALRO, Naivasha","T1","PJP 0","NA","kg/individual",2.33,"Prosopis juliflora","Meat Yield","Feed Processing-Feed Substitution","T2..T3..T4","PJP 10..PJP 20..PJP 30",2.25333333333333,NA
"17","EO0032","0.1007/s11250-014-0582-9","Ethiopia","Mekelle University","T1","T1","NA","g/d/individual",29,"Ficus thonningii","Weight Gain","Feed Addition","T2..T3..T4","T2..T3..T4",33,NA
"18","EO0032","0.1007/s11250-014-0582-9","Ethiopia","Mekelle University","T1","T1","NA","kg/individual",7,"Ficus thonningii","Meat Yield","Feed Addition","T2..T3..T4","T2..T3..T4",8.13333333333333,NA
"19","EO0032","0.1007/s11250-014-0582-9","Ethiopia","Mekelle University","T1","T1","NA","kg/individual",15,"Ficus thonningii","Meat Yield","Feed Addition","T2..T3..T4","T2..T3..T4",16.7333333333333,NA
"20","EO0032","0.1007/s11250-014-0582-9","Ethiopia","Mekelle University","T1","T1","NA","kg/individual",17,"Ficus thonningii","Meat Yield","Feed Addition","T2..T3..T4","T2..T3..T4",18.8666666666667,NA
"21","EO0032","0.1007/s11250-014-0582-9","Ethiopia","Mekelle University","T1","T1","NA","kg/individual",17.1,"Ficus thonningii","Meat Yield","Feed Addition","T2..T3..T4","T2..T3..T4",17.42,NA
"22","EO0047","www.researchgate.net/publication/316188390","Kenya","KALRO, Naivasha","T1","PP0","NA","g/d/individual",2.91836734693878,"Prosopis","Weight Gain","Feed Processing-Feed Substitution","T2..T3..T4","PP10..PP20..PP30",0.510204081632653,NA
"23","EO0047","www.researchgate.net/publication/316188390","Kenya","KALRO, Naivasha","T1","PP0","NA","kg/individual",2.01,"Prosopis","Meat Yield","Feed Processing-Feed Substitution","T2..T3..T4","PP10..PP20..PP30",1.84,NA
"24","EO0067","http://www.lrrd.org/lrrd28/11/gush28206.html","Zimbabwe","Zaka","T1","No Supplement","2007","g/d/individual",-204.376548307191,"Acacia angustissima","Weight Gain","Feed Addition","T2","Supplemented",374.690338563179,NA
"25","EO0067","http://www.lrrd.org/lrrd28/11/gush28206.html","Zimbabwe","Zaka","T1","No Supplement","2007","kg/d/individual",1.99209486166007,"Acacia angustissima","Milk Yield","Feed Addition","T2","Supplemented",3.16798418972332,NA
"26","EO0067","http://www.lrrd.org/lrrd28/11/gush28206.html","Zimbabwe","Zaka","T1","No Supplement","2007","kg/individual",436.878612716763,"Acacia angustissima","Meat Yield","Feed Addition","T2","Supplemented",388.757225433526,NA
"27","EO0078","www.lrrd.org/lrrd27/9/kida27180.html","Ethiopia","Mekelle University","T1","PJP-0","NA","g/d/individual",64.961,"Prosopis juliflora","Weight Gain","Feed Processing-Feed Substitution","T2..T3..T4..T5","PJP-10..PJP-20..PJP-30..PJP-40",60.241975,NA
"28","EO0078","www.lrrd.org/lrrd27/9/kida27180.html","Ethiopia","Mekelle University","T1","PJP-0","NA","kg/individual",21,"Prosopis juliflora","Meat Yield","Feed Processing-Feed Substitution","T2..T3..T4..T5","PJP-10..PJP-20..PJP-30..PJP-40",21,NA
"29","EO0102","www.lrrd.org/lrrd25/8/noum25145.htm","Cameroon","University of Dschang","T1","TD0","2012","g/d/individual",3.45,"Tithonia diversifolia","Weight Gain","Feed Addition","T3..T4..T2","TD6..TD9..TD12",3.54166666666667,NA
"30","EO0102","www.lrrd.org/lrrd25/8/noum25145.htm","Cameroon","University of Dschang","T1","TD0","2012","g/d/individual",3.55,"Tithonia diversifolia","Weight Gain","Feed Addition","T3..T4..T2","TD6..TD9..TD12",3.54166666666667,NA
"31","EO0102","www.lrrd.org/lrrd25/8/noum25145.htm","Cameroon","University of Dschang","T1","TD0","2012","g/d/individual",3.62,"Tithonia diversifolia","Weight Gain","Feed Addition","T3..T4..T2","TD6..TD9..TD12",3.63666666666667,NA
"32","HK0006","10.1111/j.1439-0396.2010.01040.x","Nigeria","University of Ibadan Research Farm","T1","D1 No F.polita","NA","g/d/individual",6.6,"Ficus polita","Weight Gain","Feed Substitution","T2..T3..T4","D2 30 F.polita..D3  60 F.polita..D4 90 F.polita",22.3333333333333,NA
"33","HK0006","10.1111/j.1439-0396.2010.01040.x","Nigeria","University of Ibadan Research Farm","T1","D1 No F.polita","NA","kg/individual",7.5,"Ficus polita","Meat Yield","Feed Substitution","T2..T3..T4","D2 30 F.polita..D3  60 F.polita..D4 90 F.polita",7.86666666666667,NA
"34","HK0008","10.1016/0921-4488(91)90032-l","Nigeria","IITA, Ibadan","T1","Diet 1 Goat","NA","g/d/individual",24.36,"Leucaena leucocephala","Weight Gain","Feed Substitution","T3..T5..T7..T9","Diet 2 Goat..Diet 3 Goat..Diet 4 Goat..Diet 5 Goat",29.4575,NA
"35","HK0008","10.1016/0921-4488(91)90032-l","Nigeria","IITA, Ibadan","T2","Diet 1 Sheep","NA","g/d/individual",48.92,"Leucaena leucocephala","Weight Gain","Feed Substitution","T4..T6..T8","Diet 2 Sheep..Diet 3 Sheep..Diet 4 Sheep",54.87,NA
"36","HK0037","https://www.european-poultry-science.com/artikel.dll/2000-65-28-32_gq4tmmbqge4q.pdf?UID=FC4CCB24FF9D15F766F56FA6AB11C0D3EAC2CAEA","Nigeria","University of Ilorin","T1","Diet 1 Bundle 1","NA","g/d/individual",11.7,"Prosopis africana","Weight Gain","Feed Processing-Feed Substitution","T2..T3..T4..T6","Diet 2 Bundle 1..Diet 3 Bundle 1..Diet 4 Bundle 1..Diet 5 Bundle 1",6.835,NA
"37","HK0045","https://www.scielo.cl/scielo.php?pid=S0717-95022012000100045&script=sci_arttext&tlng=en","Nigeria","NHRI, Ibadan","T1","T D1 Con","NA","g/d/individual",0.540952380952381,NA,"Weight Gain","Feed Substitution","T6..T7..T8..T9","T D6..T D7..T D8..T D9",0.580952380952381,NA
"38","HK0108","https://pubag.nal.usda.gov/catalog/732199","Nigeria","University of Ibadan Research Farm","T1","T1 0% Leucaena Diet","NA","g/d/individual",-3.78,"Leucaena leucocephala","Weight Gain","Feed Substitution","T2..T3..T4","T2 15% Leucaena Diet..T3 30% Leucaena Diet..T4 45% Leucaena Diet",37.78,NA
"39","HK0108","https://pubag.nal.usda.gov/catalog/732199","Nigeria","University of Ibadan Research Farm","T1","T1 0% Leucaena Diet","NA","kg/individual",5.22,"Leucaena leucocephala","Meat Yield","Feed Substitution","T2..T3..T4","T2 15% Leucaena Diet..T3 30% Leucaena Diet..T4 45% Leucaena Diet",9.21,NA
