"Code","DOI","Country","Site.ID","CID","C.Descrip","M.Year","Units","MeanC","Out.SubInd","PrName","Product.Simple","DD.Variable","DD.Unit_Control","DD.Unit_trt","DD.Value_Control","TID","T.Descrip","Tree.Feed","MeanT","VarianceT","DD.Value_trt"
"AG0018","https://pdfs.semanticscholar.org/085f/cbe290d2edec655ea106f6ba39ef4e6a3673.pdf","Zimbabwe","Makoholi","T4","NP","2009","kg/d/individual",0.359166666666667,"Weight Gain","Feed Addition-Feed Processing","Cattle",NA,NA,NA,NA,"T2..T3","LLM..MFM","Leucaena leucocephala",0.407083333333333,0.005778125,NA
"AG0018","https://pdfs.semanticscholar.org/085f/cbe290d2edec655ea106f6ba39ef4e6a3673.pdf","Zimbabwe","Makoholi","T4","NP","2009","kg/individual",286.3,"Meat Yield","Feed Addition-Feed Processing","Cattle",NA,NA,NA,NA,"T2..T3","LLM..MFM","Leucaena leucocephala",290.5,28.8800000000002,NA
"AG0018","https://pdfs.semanticscholar.org/085f/cbe290d2edec655ea106f6ba39ef4e6a3673.pdf","Zimbabwe","Makoholi","T4","NP","2010","kg/d/individual",0.165416666666667,"Weight Gain","Feed Addition-Feed Processing","Cattle",NA,NA,NA,NA,"T2..T3","LLM..MFM","Leucaena leucocephala",0.236250000000001,0.00250868055555553,NA
"AG0018","https://pdfs.semanticscholar.org/085f/cbe290d2edec655ea106f6ba39ef4e6a3673.pdf","Zimbabwe","Makoholi","T4","NP","2010","kg/individual",284.4,"Meat Yield","Feed Addition-Feed Processing","Cattle",NA,NA,NA,NA,"T2..T3","LLM..MFM","Leucaena leucocephala",345.05,36.125,NA
"AG0018","https://pdfs.semanticscholar.org/085f/cbe290d2edec655ea106f6ba39ef4e6a3673.pdf","Zimbabwe","Makoholi","T4","NP","2011","kg/d/individual",0.042916666666667,"Weight Gain","Feed Addition-Feed Processing","Cattle",NA,NA,NA,NA,"T2..T3","LLM..MFM","Leucaena leucocephala",0.379,0.015753125,NA
"AG0018","https://pdfs.semanticscholar.org/085f/cbe290d2edec655ea106f6ba39ef4e6a3673.pdf","Zimbabwe","Makoholi","T4","NP","2011","kg/individual",286.3,"Meat Yield","Feed Addition-Feed Processing","Cattle",NA,NA,NA,NA,"T2..T3","LLM..MFM","Leucaena leucocephala",347.65,226.845,NA
"AN0007","10.3923/ajava.2016.725.731","Nigeria","Ekiti State University","T1","T1","NA","g/d/individual",30.35,"Weight Gain","Feed Substitution","Sheep",NA,NA,NA,NA,"T2..T3..T4..T5","T2..T3..T4..T5","Gmelina arborea",37.0525,2.93709166666666,NA
"AN0007","10.3923/ajava.2016.725.731","Nigeria","Ekiti State University","T1","T1","NA","kg/individual",14.5,"Meat Yield","Feed Substitution","Sheep",NA,NA,NA,NA,"T2..T3..T4..T5","T2..T3..T4..T5","Gmelina arborea",15.075,0.129166666666667,NA
"EO0032","0.1007/s11250-014-0582-9","Ethiopia","Mekelle University","T1","T1","NA","g/d/individual",29,"Weight Gain","Feed Addition","Goat",NA,NA,NA,NA,"T2..T3..T4","T2..T3..T4","Ficus thonningii",33,217,NA
"EO0032","0.1007/s11250-014-0582-9","Ethiopia","Mekelle University","T1","T1","NA","kg/individual",7,"Meat Yield","Feed Addition","Goat",NA,NA,NA,NA,"T2..T3..T4","T2..T3..T4","Ficus thonningii",8.13333333333333,0.653333333333333,NA
"EO0032","0.1007/s11250-014-0582-9","Ethiopia","Mekelle University","T1","T1","NA","kg/individual",15,"Meat Yield","Feed Addition","Goat",NA,NA,NA,NA,"T2..T3..T4","T2..T3..T4","Ficus thonningii",16.7333333333333,1.61333333333333,NA
"EO0032","0.1007/s11250-014-0582-9","Ethiopia","Mekelle University","T1","T1","NA","kg/individual",17,"Meat Yield","Feed Addition","Goat",NA,NA,NA,NA,"T2..T3..T4","T2..T3..T4","Ficus thonningii",18.8666666666667,1.77333333333333,NA
"EO0032","0.1007/s11250-014-0582-9","Ethiopia","Mekelle University","T1","T1","NA","kg/individual",17.1,"Meat Yield","Feed Addition","Goat",NA,NA,NA,NA,"T2..T3..T4","T2..T3..T4","Ficus thonningii",17.42,2.4663,NA
"EO0067","http://www.lrrd.org/lrrd28/11/gush28206.html","Zimbabwe","Zaka","T1","No Supplement","2007","g/d/individual",-204.376548307191,"Weight Gain","Feed Addition","Cattle",NA,NA,NA,NA,"T2","Supplemented","Acacia angustissima",374.690338563179,NA,NA
"EO0067","http://www.lrrd.org/lrrd28/11/gush28206.html","Zimbabwe","Zaka","T1","No Supplement","2007","kg/d/individual",1.99209486166007,"Milk Yield","Feed Addition","Cattle",NA,NA,NA,NA,"T2","Supplemented","Acacia angustissima",3.16798418972332,NA,NA
"EO0067","http://www.lrrd.org/lrrd28/11/gush28206.html","Zimbabwe","Zaka","T1","No Supplement","2007","kg/individual",436.878612716763,"Meat Yield","Feed Addition","Cattle",NA,NA,NA,NA,"T2","Supplemented","Acacia angustissima",388.757225433526,NA,NA
"EO0078","www.lrrd.org/lrrd27/9/kida27180.html","Ethiopia","Mekelle University","T1","PJP-0","NA","g/d/individual",64.961,"Weight Gain","Feed Processing-Feed Substitution","Goat",NA,NA,NA,NA,"T2..T3..T4..T5","PJP-10..PJP-20..PJP-30..PJP-40","Prosopis juliflora",60.241975,97.7360934025,NA
"EO0078","www.lrrd.org/lrrd27/9/kida27180.html","Ethiopia","Mekelle University","T1","PJP-0","NA","kg/individual",21,"Meat Yield","Feed Processing-Feed Substitution","Goat",NA,NA,NA,NA,"T2..T3..T4..T5","PJP-10..PJP-20..PJP-30..PJP-40","Prosopis juliflora",21,2,NA
"HK0006","10.1111/j.1439-0396.2010.01040.x","Nigeria","University of Ibadan Research Farm","T1","D1 No F.polita","NA","g/d/individual",6.6,"Weight Gain","Feed Substitution","Goat","CP","%","%",57.8,"T2..T3..T4","D2 30 F.polita..D3  60 F.polita..D4 90 F.polita","Ficus polita",22.3333333333333,19.4033333333333,62.6666666666667
"HK0006","10.1111/j.1439-0396.2010.01040.x","Nigeria","University of Ibadan Research Farm","T1","D1 No F.polita","NA","g/d/individual",6.6,"Weight Gain","Feed Substitution","Goat","DM","%","%",59.6,"T2..T3..T4","D2 30 F.polita..D3  60 F.polita..D4 90 F.polita","Ficus polita",22.3333333333333,19.4033333333333,63.9666666666667
"HK0006","10.1111/j.1439-0396.2010.01040.x","Nigeria","University of Ibadan Research Farm","T1","D1 No F.polita","NA","kg/individual",7.5,"Meat Yield","Feed Substitution","Goat","CP","%","%",57.8,"T2..T3..T4","D2 30 F.polita..D3  60 F.polita..D4 90 F.polita","Ficus polita",7.86666666666667,0.0933333333333332,62.6666666666667
"HK0006","10.1111/j.1439-0396.2010.01040.x","Nigeria","University of Ibadan Research Farm","T1","D1 No F.polita","NA","kg/individual",7.5,"Meat Yield","Feed Substitution","Goat","DM","%","%",59.6,"T2..T3..T4","D2 30 F.polita..D3  60 F.polita..D4 90 F.polita","Ficus polita",7.86666666666667,0.0933333333333332,63.9666666666667
"HK0008","10.1016/0921-4488(91)90032-l","Nigeria","IITA, Ibadan","T1","Diet 1 Goat","NA","g/d/individual",24.36,"Weight Gain","Feed Substitution","Goat",NA,NA,NA,NA,"T3..T5..T7..T9","Diet 2 Goat..Diet 3 Goat..Diet 4 Goat..Diet 5 Goat","Leucaena leucocephala",29.4575,11.0013583333333,NA
"HK0008","10.1016/0921-4488(91)90032-l","Nigeria","IITA, Ibadan","T2","Diet 1 Sheep","NA","g/d/individual",48.92,"Weight Gain","Feed Substitution","Sheep",NA,NA,NA,NA,"T4..T6..T8","Diet 2 Sheep..Diet 3 Sheep..Diet 4 Sheep","Leucaena leucocephala",54.87,15.4681,NA
"HK0108","https://pubag.nal.usda.gov/catalog/732199","Nigeria","University of Ibadan Research Farm","T1","T1 0% Leucaena Diet","NA","g/d/individual",-3.78,"Weight Gain","Feed Substitution","Goat",NA,NA,NA,NA,"T2..T3..T4","T2 15% Leucaena Diet..T3 30% Leucaena Diet..T4 45% Leucaena Diet","Leucaena leucocephala",37.78,79.9284,NA
"HK0108","https://pubag.nal.usda.gov/catalog/732199","Nigeria","University of Ibadan Research Farm","T1","T1 0% Leucaena Diet","NA","kg/individual",5.22,"Meat Yield","Feed Substitution","Goat",NA,NA,NA,NA,"T2..T3..T4","T2 15% Leucaena Diet..T3 30% Leucaena Diet..T4 45% Leucaena Diet","Leucaena leucocephala",9.21,0.8256,NA
"HK0154","https://www.tropicalgrasslands.info/public/journals/4/Historic/Tropical%20Grasslands%20Journal%20archive/PDFs/Vol_29_1995/Vol_29_03_95_pp150_154.pdf","Nigeria","NAPRI, Shika","T1","0% Leucaena","NA","g/d/individual",-2.4,"Weight Gain","Feed Substitution","Sheep",NA,NA,NA,NA,"T2..T3..T4..T5","10% Leucaena..20% Leucaena..30% Leucaena..40% Leucaena","Leucaena leucocephala",34.7,214.926666666667,NA
"HK0154","https://www.tropicalgrasslands.info/public/journals/4/Historic/Tropical%20Grasslands%20Journal%20archive/PDFs/Vol_29_1995/Vol_29_03_95_pp150_154.pdf","Nigeria","NAPRI, Shika","T1","0% Leucaena","NA","kg/individual",12.2942363112392,"Meat Yield","Feed Substitution","Sheep",NA,NA,NA,NA,"T2..T3..T4..T5","10% Leucaena..20% Leucaena..30% Leucaena..40% Leucaena","Leucaena leucocephala",14.7330235409342,1.04247367007489,NA
"HK0346","10.1016/j.smallrumres.2017.06.014","Uganda","Buyende","T3","T D1 Con CM B2","NA","g/d/individual",40,"Weight Gain","Feed Addition","Goat",NA,NA,NA,NA,"T4..T7","T D2 B2..T D3 B2","Harissonia abyssinica..Ficus natalensis",36,8,NA
"HK0346","10.1016/j.smallrumres.2017.06.014","Uganda","Buyende","T3","T D1 Con CM B2","NA","kg/individual",6.5,"Meat Yield","Feed Addition","Goat",NA,NA,NA,NA,"T4..T7","T D2 B2..T D3 B2","Harissonia abyssinica..Ficus natalensis",6.3,0.02,NA
"HK0346","10.1016/j.smallrumres.2017.06.014","Uganda","Buyende","T3","T D1 Con CM B2","NA","kg/individual",8,"Meat Yield","Feed Addition","Goat",NA,NA,NA,NA,"T4..T7","T D2 B2..T D3 B2","Harissonia abyssinica..Ficus natalensis",8.2,0.720000000000001,NA
"HK0346","10.1016/j.smallrumres.2017.06.014","Uganda","Buyende","T3","T D1 Con CM B2","NA","kg/individual",17.2,"Meat Yield","Feed Addition","Goat",NA,NA,NA,NA,"T4..T7","T D2 B2..T D3 B2","Harissonia abyssinica..Ficus natalensis",17.1,1.62,NA
"HK0346","10.1016/j.smallrumres.2017.06.014","Uganda","Buyende","T3","T D1 Con CM B2","NA","kg/individual",19,"Meat Yield","Feed Addition","Goat",NA,NA,NA,NA,"T4..T7","T D2 B2..T D3 B2","Harissonia abyssinica..Ficus natalensis",18.8,2,NA
"HK0346","10.1016/j.smallrumres.2017.06.014","Uganda","Buyende","T3","T D1 Con CM B2","NA","kg/individual",19.1,"Meat Yield","Feed Addition","Goat",NA,NA,NA,NA,"T4..T7","T D2 B2..T D3 B2","Harissonia abyssinica..Ficus natalensis",19.4,2.88000000000001,NA
"JS0046","10.1007/s11250-009-9307-x","Burkina Faso","CIRDES, Bobo-Dioulasso","T2","Cotton seed Cake Diet","2006","g/d/individual",95.8,"Weight Gain","Feed Substitution","Sheep",NA,NA,NA,NA,"T1..T4..T3","A. africana Diet..P. erinaceus Diet..K. senegalensis Diet","Afzelia africana..Pterocarpus erinaceus..Khaya senegalensis",56.5666666666667,59.2433333333333,NA
"JS0046","10.1007/s11250-009-9307-x","Burkina Faso","CIRDES, Bobo-Dioulasso","T2","Cotton seed Cake Diet","2006","kg/individual",11.6,"Meat Yield","Feed Substitution","Sheep",NA,NA,NA,NA,"T1..T4..T3","A. africana Diet..P. erinaceus Diet..K. senegalensis Diet","Afzelia africana..Pterocarpus erinaceus..Khaya senegalensis",8.73333333333333,0.723333333333333,NA
