B.Code,B.Author.Last,B.Date,B.Journal,B.DOI,B.Url
NN0022,Ayantunde,2007,Tropical Animal Health and Production,DOI 10.1007/s11250-007-9009-1,
NN0080,Salem,2005,Small Ruminant Research,10.1016/j.smallrumres.2005.05.010,
NN0081,Salem,2008,Animal Feed Science and Technology,10.1016/j.anifeedsci.2007.09.019,
NN0085,Azaza,2006,Journal of Applied Ichthyology,10.1111/j.1439-0426.2007.01017.x,
NN0092.1,Mahouachi,2011,Scientific World Journal,10.1100/2012/321567,
NN0106,Eniolorunda,2011,African Journal of Biotechnology,10.5897/AJB10.1539,
NN0109.1,Fagbenro,1995,Aquaculture Nutrition,10.1111/j.1365-2095.1995.tb00047.x,
NN0110.1,Fagbenro,1999,Aquaculture Research,10.1046/j.1365-2109.1999.00321.x,
NN0114,Fagbenro,2010,African Journal of Agricultural Research,https://doi.org/10.5897/AJAR.9000509,
NN0119.1,Fasuyi,2007,"Journal of Food, Agriculture & Environment",,https://agris.fao.org/agris-search/search.do?recordID=US201300869656
NN0188,Khalili,1992,Animal Feed Science and Technology,https://doi.org/10.1016/0377-8401(92)90062-B,
NN0191.2,Larbi,1993,Agroforestry Systems,10.1007/bf00705245,
NN0196,Melaku,2004,Livestock Production Science,10.1016/j.livprodsci.2004.01.003,
NN0201,Nsahlai,1996,Animal Feed Science Technology,10.1016/0377-8401(95)00941-8,
NN0205,Nurfeta,2014,Tropical Animal Health and Production,DOI 10.1007/s11250-013-0527-8,
NN0230,Wiegand,1994,Tropical Agriculture,https://cgspace.cgiar.org/handle/10568/29698,
AG0042,Oloche,2018,Pakistan Journal of Nutrition,10.3923/pjn.2018.374.378,
AG0050,Dada,2015,Journal of Fisheries and Aquatic Science,10.3923/jfas.2015.569.574,
AG0087,Salih,2016,Iranian Journal of Applied Animal Science,,ijas.iaurasht.ac.ir/article_526675_5a54a101dcda6f6b70eab2d3cf7f4c40.pdf
AN0007,Adegun,2016,Asian Journal of Animal and Veterinary Advances,10.3923/ajava.2016.725.731,
AN0020,Amobi,2018,Journal of Insects as Food and Feed,10.3920/JIFF2017.0078,
AN0057,Tekle,2018,Livestock Research for Rural Development,,http://www.lrrd.org/lrrd30/8/desta30149.html
EO0032,Balehegn,2014,Tropical Animal Health and Production,0.1007/s11250-014-0582-9,
EO0041,Mekasha,2013,Livestock Research for Rural Development,,www.lrrd.org/lrrd25/6/meka25104.htm
