"D.Item.raw","B.Code","DC.Value","DC.Unit","DC.Variable","T.Name","A.Level.Name","P.Product","Out.WG.Start","Out.WG.Unit","Out.WG.Days","Weight Gain","Weight Gain Unit","Weight Gain_kg","Out.WG.Start_kg","Out.WG.End","Out.Subind","Feed Intake","Feed Intake Unit","Tree.Feed","Metabolic_Weight","Feed_Dosage_g_DM_per_kg_MW"
"0 MSK","HK0066.1",921,"g/kg","DM","T1 0 MSK","0 MSK","Chicken",NA,NA,56,-0.535714285714286,"g/d/individual",-0.001,NA,NA,"Feed Intake",133.8,"g/individual/day",NA,NA,NA
"0 MSK","HK0066.1",178,"g/kg","CP","T1 0 MSK","0 MSK","Chicken",NA,NA,56,-0.535714285714286,"g/d/individual",-0.001,NA,NA,"Feed Intake",133.8,"g/individual/day",NA,NA,NA
"0 MSK","HK0066.1",41,"g/kg","CFibre","T1 0 MSK","0 MSK","Chicken",NA,NA,56,-0.535714285714286,"g/d/individual",-0.001,NA,NA,"Feed Intake",133.8,"g/individual/day",NA,NA,NA
"0 MSK","HK0066.1",42,"g/kg","EE","T1 0 MSK","0 MSK","Chicken",NA,NA,56,-0.535714285714286,"g/d/individual",-0.001,NA,NA,"Feed Intake",133.8,"g/individual/day",NA,NA,NA
"0 MSK","HK0066.1",10.63,"MJ/kg","ME","T1 0 MSK","0 MSK","Chicken",NA,NA,56,-0.535714285714286,"g/d/individual",-0.001,NA,NA,"Feed Intake",133.8,"g/individual/day",NA,NA,NA
"0 MSK","HK0066.2",881,"g/kg","DM","T1 0 MSK","0 MSK","Chicken",NA,"g",35,24.4,"g/d/individual",0.024,NA,NA,"Feed Intake",66.2,"g/individual/day",NA,NA,NA
"0 MSK","HK0066.2",237.5,"g/kg","CP","T1 0 MSK","0 MSK","Chicken",NA,"g",35,24.4,"g/d/individual",0.024,NA,NA,"Feed Intake",66.2,"g/individual/day",NA,NA,NA
"0 MSK","HK0066.2",38.2,"g/kg","CFibre","T1 0 MSK","0 MSK","Chicken",NA,"g",35,24.4,"g/d/individual",0.024,NA,NA,"Feed Intake",66.2,"g/individual/day",NA,NA,NA
"0 MSK","HK0066.2",38.2,"g/kg","EE","T1 0 MSK","0 MSK","Chicken",NA,"g",35,24.4,"g/d/individual",0.024,NA,NA,"Feed Intake",66.2,"g/individual/day",NA,NA,NA
"0 MSK","HK0066.2",12.7,"MJ/kg","ME","T1 0 MSK","0 MSK","Chicken",NA,"g",35,24.4,"g/d/individual",0.024,NA,NA,"Feed Intake",66.2,"g/individual/day",NA,NA,NA
"0 g/kg A. tortilis","HK0330",867,"g/kg","DM","T1 0 g/kg A. tortilis","0 g/kg A. tortilis","Pigs",28.5,"kg",21,772.5,"g/d/individual",0.772,28.5,44.712,"Feed Intake",1450,"g/individual/day",NA,12.3348435373719,NA
"0 g/kg A. tortilis","HK0330",180,"g/kg","CP","T1 0 g/kg A. tortilis","0 g/kg A. tortilis","Pigs",28.5,"kg",21,772.5,"g/d/individual",0.772,28.5,44.712,"Feed Intake",1450,"g/individual/day",NA,12.3348435373719,NA
"0 g/kg A. tortilis","HK0330",8.1,"g/kg","Phos","T1 0 g/kg A. tortilis","0 g/kg A. tortilis","Pigs",28.5,"kg",21,772.5,"g/d/individual",0.772,28.5,44.712,"Feed Intake",1450,"g/individual/day",NA,12.3348435373719,NA
"0 g/kg A. tortilis","HK0330",11.7,"g/kg","Calcium","T1 0 g/kg A. tortilis","0 g/kg A. tortilis","Pigs",28.5,"kg",21,772.5,"g/d/individual",0.772,28.5,44.712,"Feed Intake",1450,"g/individual/day",NA,12.3348435373719,NA
"0 g/kg A. tortilis","HK0330",161,"g/kg","NDF","T1 0 g/kg A. tortilis","0 g/kg A. tortilis","Pigs",28.5,"kg",21,772.5,"g/d/individual",0.772,28.5,44.712,"Feed Intake",1450,"g/individual/day",NA,12.3348435373719,NA
"0 g/kg A. tortilis","HK0330",52.4,"g/kg","ADF","T1 0 g/kg A. tortilis","0 g/kg A. tortilis","Pigs",28.5,"kg",21,772.5,"g/d/individual",0.772,28.5,44.712,"Feed Intake",1450,"g/individual/day",NA,12.3348435373719,NA
