D.Item.AOM,B.Code,DD.Unit.Is.Dry,D.Item,DD.Value,DD.Unit,DD.Nut.or.Diet,DD.Method,DD.Variable,Scientific Name,NCBI,WFO,Feedipedia,CPC_Code_Product,CPC_Code_Component
,LM0311,Unspecified,,701,g/kg,Nutrient,Measured total collection techinque (Apparent),DM,,,,,,
,NN0227,Unspecified,,668,g/kg,Nutrient,Measured total collection techinque,DM,,,,,,
,LM0311,Unspecified,,699,g/kg,Nutrient,Measured total collection techinque (Apparent),OM,,,,,,
,NN0227,Unspecified,,693,g/kg,Nutrient,Measured total collection techinque,OM,,,,,,
,LM0311,Unspecified,,696,g/kg,Nutrient,Measured total collection techinque (Apparent),CP,,,,,,
,NN0227,Unspecified,,687,g/kg,Nutrient,Measured total collection techinque,CP,,,,,,
,LM0311,Unspecified,,663,g/kg,Nutrient,Measured total collection techinque (Apparent),NDF,,,,,,
,NN0227,Unspecified,,730,g/kg,Nutrient,Measured total collection techinque,NDF,,,,,,
,LM0311,Unspecified,,708,g/kg,Nutrient,Measured total collection techinque (Apparent),ADF,,,,,,
,LM0311,Unspecified,,567,g/kg,Nutrient,Measured total collection techinque (Apparent),Cellu,,,,,,
,LM0311,Unspecified,,765,g/kg,Nutrient,Measured total collection techinque (Apparent),Hemicell,,,,,,
AOM_000574,NJ0013,Yes,Oat Leaves Dried,48.87,%,Nutrient,Measured in vitro (Tilley & Terry IVDMD),OM,Avena sativa,http://purl.obolibrary.org/obo/NCBITaxon_4498,,"https://www.feedipedia.org/node/500
 https://www.feedipedia.org/node/707",0117,01919
AOM_000620,JS0281,Yes,Cotton Seed Cake,73.2,%,Nutrient,Measured in vitro (Tilley & Terry IVDMD),Invitro,Gossypium,http://purl.obolibrary.org/obo/NCBITaxon_3633,,https://www.feedipedia.org/node/550,01921.01,2191
AOM_000686,JS0230,Yes,Cenchrus ciliaris,37.5,g/100g DM,Nutrient,Measured in vitro (Tilley & Terry IVDMD),DM,Cenchrus ciliaris,http://purl.obolibrary.org/obo/NCBITaxon_35872,,https://www.feedipedia.org/node/482,NA,01919.9
AOM_000686,JS0230,Yes,Cenchrus ciliaris,35.1,g/100g DM,Nutrient,Measured in vitro (Tilley & Terry IVDMD),OM,Cenchrus ciliaris,http://purl.obolibrary.org/obo/NCBITaxon_35872,,https://www.feedipedia.org/node/482,NA,01919.9
AOM_000686,JS0226,Yes,Cenchrus ciliaris,59.6,%,Diet,Unspecified,Invitro,Cenchrus ciliaris,http://purl.obolibrary.org/obo/NCBITaxon_35872,,https://www.feedipedia.org/node/482,NA,01919.9
