D.Item.AOM,B.Code,DC.Unit.Is.Dry,D.Item,DC.Value,DC.Unit,DC.Variable,Scientific Name,NCBI,WFO,Feedipedia,CPC_Code_Product,CPC_Code_Component
AOM_000537,HK0228,Yes,Blood Dried Ground Heated,90.9,%,DM,,,,NA,39110,
AOM_000537,HK0228,Yes,Blood Dried Ground Heated,71.9,%,CP,,,,NA,39110,
AOM_000537,HK0228,Yes,Blood Dried Ground Heated,6.4,%,Ash,,,,NA,39110,
AOM_000537,HK0228,Yes,Blood Dried Ground Heated,1.7,%,Cfat,,,,NA,39110,
AOM_000539,HK0171,Yes,Bone Ground,75,%,DM,,,,https://www.feedipedia.org/node/219,39110,
AOM_000539,HK0171,Yes,Bone Ground,36,%,CP,,,,https://www.feedipedia.org/node/219,39110,
AOM_000539,HK0171,Yes,Bone Ground,3,%,CFibre,,,,https://www.feedipedia.org/node/219,39110,
AOM_000539,HK0171,Yes,Bone Ground,49,%,Ash,,,,https://www.feedipedia.org/node/219,39110,
AOM_000539,HK0171,Yes,Bone Ground,4,%,EE,,,,https://www.feedipedia.org/node/219,39110,
AOM_000539,HK0171,Yes,Bone Ground,8,%,NFE,,,,https://www.feedipedia.org/node/219,39110,
AOM_000543,HK0014,Yes,Fish Ground,92,%,DM,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,HK0017,Unspecified,Fish Ground,94.7,%,DM,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,HK0331,Yes,Fish Ground,90.5,%,DM,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,JS0047,Yes,Fish Ground,96.5,%,DM,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,JS0215.1,Yes,Fish Ground,960,g/kg,DM,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,JS0215.2,Yes,Fish Ground,960,g/kg,DM,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,LM0124,Yes,Fish Ground,92.3,g/kg,DM,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,LM0138,Unspecified,Fish Ground,91.83,%,DM,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,LM0228.1,Yes,Fish Ground,890,g/kg,DM,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,LM0315,Unspecified,Fish Ground,947.5,g/kg,DM,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,LM0334,Yes,Fish Ground,90.5,%,DM,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,NN0085,Yes,Fish Ground,91.47,%,DM,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,NN0098,Yes,Fish Ground,914.7,g/kg,DM,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,NN0114,Yes,Fish Ground,92.41,g/100g DM,DM,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,HK0014,Yes,Fish Ground,72,%,CP,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,HK0017,Unspecified,Fish Ground,65,%,CP,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,JS0047,Yes,Fish Ground,39.1,%,CP,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,JS0080,Yes,Fish Ground,630,g/kg,CP,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,JS0112,Yes,Fish Ground,72,g/100g,CP,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,JS0215.1,Yes,Fish Ground,510,g/kg,CP,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,JS0215.2,Yes,Fish Ground,510,g/kg,CP,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,LM0122,Unspecified,Fish Ground,71.9,%,CP,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,LM0138,Unspecified,Fish Ground,73.18,%,CP,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,LM0228.1,Yes,Fish Ground,343,g/kg,CP,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,LM0315,Unspecified,Fish Ground,672.1,g/kg,CP,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,LM0334,Yes,Fish Ground,64.8,%,CP,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,NJ0003,Yes,Fish Ground,72,%,CP,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,NN0085,Yes,Fish Ground,47.21,%,CP,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,NN0098,Yes,Fish Ground,472.1,g/kg,CP,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,NN0114,Yes,Fish Ground,69.76,g/100g DM,CP,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,NN0115,Yes,Fish Ground,724,g/kg,CP,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,NN0117,Unspecified,Fish Ground,72,%,CP,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,NN0119.2,Unspecified,Fish Ground,68,%/(g/100g for pumpkin leaves),CP,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,NN0155,Yes,Fish Ground,650,g/kg,CP,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,JS0047,Yes,Fish Ground,3.39,%,Phos,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,JS0215.1,Yes,Fish Ground,2.5,g/kg,Phos,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,JS0215.2,Yes,Fish Ground,2.5,g/kg,Phos,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,LM0138,Unspecified,Fish Ground,2.09,g/100g DM,Phos,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,JS0047,Yes,Fish Ground,7.36,%,Calcium,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,JS0215.1,Yes,Fish Ground,4.3,g/kg,Calcium,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,JS0215.2,Yes,Fish Ground,4.3,g/kg,Calcium,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,LM0138,Unspecified,Fish Ground,3.14,g/100g DM,Calcium,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,HK0014,Yes,Fish Ground,1,%,CFibre,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,HK0017,Unspecified,Fish Ground,1.03,%,CFibre,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,JS0047,Yes,Fish Ground,1.45,%,CFibre,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,LM0138,Unspecified,Fish Ground,0.22,%,CFibre,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,LM0228.1,Yes,Fish Ground,171,g/kg,CFibre,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,NN0085,Yes,Fish Ground,0.95,%,CFibre,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,NN0098,Yes,Fish Ground,9.5,g/kg,CFibre,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,NN0115,Yes,Fish Ground,11,g/kg,CFibre,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,HK0014,Yes,Fish Ground,12.6,%,Ash,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,HK0017,Unspecified,Fish Ground,12.56,%,Ash,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,HK0331,Yes,Fish Ground,21.1,%,Ash,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,JS0047,Yes,Fish Ground,35,%,Ash,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,LM0138,Unspecified,Fish Ground,12.73,%,Ash,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,LM0228.1,Yes,Fish Ground,182,g/kg,Ash,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,LM0315,Unspecified,Fish Ground,126.6,g/kg,Ash,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,LM0334,Yes,Fish Ground,21.1,%,Ash,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,NN0085,Yes,Fish Ground,28.14,%,Ash,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,NN0098,Yes,Fish Ground,201.4,g/kg,Ash,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,NN0114,Yes,Fish Ground,13.83,g/100g DM,Ash,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,NN0115,Yes,Fish Ground,145,g/kg,Ash,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,HK0014,Yes,Fish Ground,4.5,%,EE,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,JS0047,Yes,Fish Ground,16.3,%,EE,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,JS0215.1,Yes,Fish Ground,91,g/kg,EE,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,JS0215.2,Yes,Fish Ground,91,g/kg,EE,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,LM0138,Unspecified,Fish Ground,10.7,%,EE,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,LM0228.1,Yes,Fish Ground,70,g/kg,EE,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,LM0315,Unspecified,Fish Ground,148,g/kg,EE,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,HK0014,Yes,Fish Ground,10,%,NFE,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,HK0017,Unspecified,Fish Ground,17.76,%,NFE,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,JS0047,Yes,Fish Ground,8.15,%,NFE,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,LM0315,Unspecified,Fish Ground,0.8,g/kg,NFE,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,NN0085,Yes,Fish Ground,13.55,%,NFE,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,NN0098,Yes,Fish Ground,215.5,g/kg,NFE,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,LM0138,Unspecified,Fish Ground,8.17,%,Moisture,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,LM0315,Unspecified,Fish Ground,52.5,g/kg,Moisture,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,NN0114,Yes,Fish Ground,7.59,g/100g DM,Moisture,,,,https://www.feedipedia.org/node/208,2123,
AOM_000543,HK0017,Unspecified,Fish Ground,4745.59,kcal/kg,GE,,,,https://www.feedipedia.org/node/208,2123,
