"";"B.Code";"A.Level.Name";"ED.Mean.T";"Out.Unit.Amount";"Out.Unit.Time";"Out.Unit.Animals"
"1";"BO1095";"Treatment Post-partum";350;"kg";"day";"individual"
"2";"EM1017";"10MOL";891,26;"kg";"day";"individual"
"3";"EM1017";"10MOL";1004,7;"kg";"day";"individual"
"4";"EM1017";"10MOL";152,8;"kg";"day";"individual"
"5";"EM1017";"20MOL";801,2;"kg";"day";"individual"
"6";"EM1017";"20MOL";945,4;"kg";"day";"individual"
"7";"EM1017";"20MOL";144,2;"kg";"day";"individual"
"8";"EM1017";"30MOL";841,97;"kg";"day";"individual"
"9";"EM1017";"30MOL";980,9;"kg";"day";"individual"
"10";"EM1017";"30MOL";138,2;"kg";"day";"individual"
"11";"EM1017";"Control";845,63;"kg";"day";"individual"
"12";"EM1017";"Control";998,2;"kg";"day";"individual"
"13";"EM1017";"Control";143,5;"kg";"day";"individual"
"14";"JO1059";"SCM 0";60,2;"kg";"day";"individual"
"15";"JO1059";"SCM 10";62;"kg";"day";"individual"
"16";"JO1059";"SCM 15";63,5;"kg";"day";"individual"
"17";"JO1059";"SCM 20";60,75;"kg";"day";"individual"
"18";"LM0104";"15% A. sieberiana";145;"kg";"day";"individual"
"19";"LM0104";"30% A. sieberiana";306;"kg";"day";"individual"
"20";"LM0104";"45% A. sieberiana";508;"kg";"day";"individual"
"21";"LM0104";"60% A. sieberiana";602;"kg";"day";"individual"
"22";"LM0299";"150g Concentrate Mix...350g Concentrate Mix";787;"kg";"day";"individual"
"23";"NN0217";"C0";685;"kg";"day";"individual"
"24";"NN0217";"C0";685;"kg";"day";"individual"
"25";"NN0217";"C20";242;"kg";"day";"individual"
"26";"NN0217";"C20";815;"kg";"day";"individual"
"27";"NN0217";"C20";573;"kg";"day";"individual"
"28";"NN0217";"C40";422;"kg";"day";"individual"
"29";"NN0217";"C40";879;"kg";"day";"individual"
"30";"NN0217";"C40";457;"kg";"day";"individual"
"31";"NN0217";"C60";503;"kg";"day";"individual"
"32";"NN0217";"C60";907;"kg";"day";"individual"
"33";"NN0217";"C60";404;"kg";"day";"individual"
"34";"NN0217";"C80";508;"kg";"day";"individual"
"35";"NN0217";"C80";726;"kg";"day";"individual"
"36";"NN0217";"C80";218;"kg";"day";"individual"
"37";"NN0234";"T 1 CON";452,7;"kg";"day";"individual"
"38";"NN0234";"T 1 CON";842,7;"kg";"day";"individual"
"39";"NN0234";"T 1 CON";390;"kg";"day";"individual"
"40";"NN0234";"T 2 74 LUPIN";838,5;"kg";"day";"individual"
"41";"NN0234";"T 2 74 LUPIN";422,1;"kg";"day";"individual"
"42";"NN0234";"T 2 74 LUPIN";416,4;"kg";"day";"individual"
"43";"NN0234";"T 3 147 LUPIN";784,4;"kg";"day";"individual"
"44";"NN0234";"T 3 147 LUPIN";410,2;"kg";"day";"individual"
"45";"NN0234";"T 3 147 LUPIN";374,2;"kg";"day";"individual"
"46";"NN0234";"T 4 219 LUPIN";804,8;"kg";"day";"individual"
"47";"NN0234";"T 4 219 LUPIN";470,1;"kg";"day";"individual"
"48";"NN0234";"T 4 219 LUPIN";334,7;"kg";"day";"individual"
"49";"NN0234";"T 5 LUPIN ONLY";746,7;"kg";"day";"individual"
"50";"NN0234";"T 5 LUPIN ONLY";457;"kg";"day";"individual"
"51";"NN0234";"T 5 LUPIN ONLY";269,7;"kg";"day";"individual"
