title,doi
"The effects of climate on decomposition of cattle, sheep and goat manure in Kenyan tropical pastures",https://doi.org/10.1007/s11104-020-04528-x
"Nutrient intake, digestibility and growth performance of Washera lambs fed natural pasture hay supplemented with graded levels of Ficus thonningii(Chibha) leaves as replacement for concentrate mixture",https://doi.org/10.1186/s40066-018-0182-4
Mesowear represents a lifetime signal in sheep (Ovis aries) within a long-term feeding experiment,https://doi.org/10.1016/j.palaeo.2020.109793
Alternative feed ingredients in the finisher diets for sustainable broiler production,https://doi.org/10.1038/s41598-020-74950-9
<i>Saccharomyces cerevisiae</i>as a probiotic feed additive to non and pseudo‐ruminant feeding: a review,https://doi.org/10.1111/jam.14416
Heat Stress Impacts on Lactating Cows Grazing Australian Summer Pastures on an Automatic Robotic Dairy,https://doi.org/10.3390/ani10050869
"Effect of Feeding Improved Grass Hays and Eragrostis tef Straw Silage on Milk Yield, Nitrogen Utilization, and Methane Emission of Lactating Fogera Dairy Cows in Ethiopia",https://doi.org/10.3390/ani10061021
"Grazing behavior, dietary value and performance of sheep, goats, cattle and camels co-grazing range with mixed species of grazing and browsing plants",https://doi.org/10.1016/j.vas.2020.100154
"Nutrient intake, digestibility and rumen metabolites in bulls fed rice straw with or without supplements",https://doi.org/10.51791/njap.v29i1.1504
Utilization of Palm Kernel Cake as a Ruminant Feed for Animal: A Review,https://doi.org/10.3923/ajbs.2018.157.164
"Essential oils and phytogenic feed additives in ruminant diet: chemistry, ruminal microbiota and fermentation, feed utilization and productive performance",https://doi.org/10.1007/s11101-021-09739-3
Temporal and spatial variability in the nutritive value of pasture vegetation and supplement feedstuffs for domestic ruminants in Western Kenya,https://doi.org/10.5713/ajas.18.0114
How to better account for livestock diversity and fodder seasonality in assessing the fodder intake of livestock grazing semi-arid sub-Saharan Africa rangelands,https://doi.org/10.1016/j.livsci.2018.07.002
What Are Sheep Doing? Tri-Axial Accelerometer Sensor Data Identify the Diel Activity Pattern of Ewe Lambs on Pasture,https://doi.org/10.3390/s21206816
High Fiber Cakes from Mediterranean Multipurpose Oilseeds as Protein Sources for Ruminants,https://doi.org/10.3390/ani9110918
"Effect of concentrate feeding level on methane emissions, production performance and rumen fermentation of Jersey cows grazing ryegrass pasture during spring",https://doi.org/10.1016/j.anifeedsci.2018.04.025
"Replacing the Concentrate Feed Mixture with Moringa oleifera Leaves Silage and Chlorella vulgaris Microalgae Mixture in Diets of Damascus Goats: Lactation Performance, Nutrient Utilization, and Ruminal Fermentation",https://doi.org/10.3390/ani12121589
Nutritional impact of partial or complete replacement of soybean meal by sesame (Sesamum indicum) meal in lambs rations,https://doi.org/10.1186/s42269-019-0140-8
"Multi-Mycotoxin Occurrence in Dairy Cattle and Poultry Feeds and Feed Ingredients from Machakos Town, Kenya",https://doi.org/10.3390/toxins12120762
Salivary amino acid concentrations in zebus (Bos indicus) and zebu hybrids (Bos indicus × Bos taurus) fed a tannin-rich diet,https://doi.org/10.26496/bjz.2011.142
"Supplementary value of two Lablab purpureus cultivars and concentrate mixture to natural grass hay basal diet based on feed intake, digestibility, growth performance and net return of Horro sheep",https://doi.org/10.5897/ijlp2017.0444
"Transfer of total phenols from a grapeseed-supplemented diet to dairy sheep and goat milk, and effects on performance and milk quality1",https://doi.org/10.1093/jas/skz046
Effect of different forage-to-concentrate ratios on ruminal bacterial structure and real-time methane production in sheep,https://doi.org/10.1371/journal.pone.0214777
Meat quality of (Bos indicus) cattle finished on different concentrate feeds,https://doi.org/10.4025/actascianimsci.v44i1.54237
Dietary supplementation of brown seaweed (Sargassum latifolium) alleviates the environmental heat stress-induced toxicity in male Barki sheep (Ovis aries),https://doi.org/10.1016/j.jtherbio.2020.102561
Towards saving freshwater: halophytes as unconventional feedstuffs in livestock feed: a review,https://doi.org/10.1007/s11356-018-2052-9
"Effect of Lipid-Encapsulated Acacia Tannin Extract on Feed Intake, Nutrient Digestibility and Methane Emission in Sheep",https://doi.org/10.3390/ani9110863
"Effects of ZnO Nanoparticles and Biochar of Rice Straw and Cow Manure on Characteristics of Contaminated Soil and Sunflower Productivity, Oil Quality, and Heavy Metals Uptake",https://doi.org/10.3390/agronomy10060790
Supplementing Tropical Cattle for Improved Nutrient Utilization and Reduced Enteric Methane Emissions,https://doi.org/10.3390/ani9050210
"Effect of fibrolytic enzymes on lactational performance, feeding behavior, and digestibility in high-producing dairy cows fed a barley silage–based diet",https://doi.org/10.3168/jds.2017-14203
"Effects of supplementation of Brachiaria brizantha cv. Piatá and Napier grass with Desmodium distortum on feed intake, digesta kinetics and milk production in crossbred dairy cows",https://doi.org/10.1016/j.aninu.2018.01.006
Improving adoption of technologies and interventions for increasing supply of quality livestock feed in low- and middle-income countries,https://doi.org/10.1016/j.gfs.2020.100372
Potential GHG emission benefits of Asparagopsis taxiformis feed supplement in Australian beef cattle feedlots,https://doi.org/10.1016/j.jclepro.2022.130499
Livestock feed resources in the West African Sahel,https://doi.org/10.1002/agj2.20955
"Effect of concentrate level on enteric methane emissions, production performance, and rumen fermentation of Jersey cows grazing kikuyu-dominant pasture during summer",https://doi.org/10.3168/jds.2017-14327
Improved feeding and forages at a crossroads: Farming systems approaches for sustainable livestock development in East Africa,https://doi.org/10.1177/0030727020906170
1200 high-quality metagenome-assembled genomes from the rumen of African cattle and their relevance in the context of sub-optimal feeding,https://doi.org/10.1186/s13059-020-02144-7
"Forage Availability and Quality, and Feeding Behaviour of Indigenous Goats Grazing in a Mediterranean Silvopastoral System",https://doi.org/10.3390/ruminants2010004
"Preference, Voluntary Feed Intake, and Digestibility of Sheep Fed Untreated Rice Straw and Supplemented with Sole or Combined Fodder Tree Leaves",https://doi.org/10.24018/ejfood.2020.2.4.89
Metagenomic analysis reveals a dynamic microbiome with diversified adaptive functions to utilize high lignocellulosic forages in the cattle rumen,https://doi.org/10.1038/s41396-020-00837-2
"Phytogenic feed additives mixture enhances the lactational performance, feed utilization and ruminal fermentation of Friesian cows",https://doi.org/10.1080/10495398.2020.1746322
"Black soldier fly larval meal in feed enhances growth performance, carcass yield and meat quality of finishing pigs",https://doi.org/10.3920/jiff2020.0072
Methane Emissions from Ruminant Livestock in Ethiopia: Promising Forage Species to Reduce CH4 Emissions,https://doi.org/10.3390/agriculture9060130
"Nutrient intake, digestibility, growth performance and carcass characteristics of Farta sheep fed urea-treated rice straw supplemented with graded levels of dried Sesbania sesban leaves",https://doi.org/10.1186/s40066-018-0226-9
In Vitro and In Vivo Assessment of Dietary Supplementation of Both Natural or Nano-Zeolite in Goat Diets: Effects on Ruminal Fermentation and Nutrients Digestibility,https://doi.org/10.3390/ani11082215
"Effects of dietary inclusion of Moringa oleifera leaf meal on nutrient digestibility, rumen fermentation, ruminal enzyme activities and growth performance of buffalo calves",https://doi.org/10.1016/j.sjbs.2021.04.037
"Propolis supplementation improved productivity, oxidative status, and immune response of Barki ewes and lambs",https://doi.org/10.14202/vetworld.2019.834-843
Feedlot performance and carcass yield of Hararghe Highland (&lt;i&gt;Bos indicus&lt;/i&gt;) bulls using different concentrate feeds,https://doi.org/10.4025/actascianimsci.v41i1.42557
"Effects of diet and roughage quality, and period of the day on diurnal feeding behaviour patterns of sheep and goats under subtropical conditions",https://doi.org/10.5713/ajas.17.0901
Cost-Effectiveness of Black Soldier Fly Larvae Meal as Substitute of Fishmeal in Diets for Layer Chicks and Growers,https://doi.org/10.3390/su13116074
Effect of lablab and pigeon pea leaf meal supplementation on performance of goats fed a basal diet of haricot bean haulms,https://doi.org/10.1007/s11250-018-1554-2
Severe below-maintenance feed intake increases methane yield from enteric fermentation in cattle,https://doi.org/10.1017/s0007114519003350
Effects of microbial feed additives on feed utilization and growth performance in growing Barki lambs fed diet based on peanut hay,https://doi.org/10.1080/10495398.2019.1616554
Adequate vegetative cover decreases nitrous oxide emissions from cattle urine deposited in grazed pastures under rainy season conditions,https://doi.org/10.1038/s41598-018-37453-2
Feed utilization and lactational performance of Friesian cows fed beet tops silage treated with lactic acid bacteria as a replacement for corn silage,https://doi.org/10.1080/10495398.2019.1622556
The influence of supplemental feed protein concentration on growth and carcass characteristics of Short Horn Zebu bulls grazing natural pastures,https://doi.org/10.1016/j.sciaf.2021.e00856
Substitution of Leucaena hay for oil seed cake meal in total mixed rations for goats,https://doi.org/10.4314/sajas.v49i5.17
"Grape pomace (Vitis vinifera L. cv. Pinotage) supplementation in lamb diets: Effects on growth performance, carcass and meat quality",https://doi.org/10.1016/j.meatsci.2018.08.017
Effects of feed intake level on efficiency of microbial protein synthesis and nitrogen balance in Boran steers consuming tropical poor-quality forage,https://doi.org/10.1080/1745039x.2019.1572343
Negative effects of cattle on soil carbon and nutrient pools reversed by megaherbivores,https://doi.org/10.1038/s41893-020-0490-0
"Effects of Selenium Supplementation on Rumen Microbiota, Rumen Fermentation, and Apparent Nutrient Digestibility of Ruminant Animals: A Review",https://doi.org/10.3390/fermentation8010004
Influence of feeding fruit by-products as alternative dietary fibre sources to wheat bran on beef production and quality of Angus steers,https://doi.org/10.1016/j.meatsci.2019.107969
